"Location_ID","Location_Name","Location_Setting","Location_Setting_Description","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"FS95362668-7","FS95362668_MW-3","Land","On or below land surface, including most wells","Located approximately 111 feet SW of the center of the current study area",95362668,"Y","","Dayton","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.315072730993,-117.991159865526,"Discrete monitoring point","+/- 1 ft (0.3 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",30,"SW","NW","",,"","","","","","","","","","FS95362668",6/21/2017 5:17:04 PM,100066382
"WAM06600-001205","JIM CREEK","Stream/River","Channeled, flowing water","JIM CREEK",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000411",9.236,2/22/2012 12:00:00 AM,46.22134659,-117.821803,"Discrete monitoring point","Unknown","Computer map - GIS-based","",9,"N",40,"E",33,"NW","NW","",,"","","","","","","","","","WHM_WAM0",,87646500
"WAM06600-002101","ROBINSON FORK","Stream/River","Channeled, flowing water","ROBINSON FORK",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000330",53.182,2/22/2012 12:00:00 AM,46.18474525,-117.9117499,"Discrete monitoring point","Unknown","Computer map - GIS-based","",8,"N",39,"E",10,"SE","NE","",,"","","","","","","","","","WHM_WAM0",,80513101
"WAM06600-002185","WHISKY CREEK","Stream/River","Channeled, flowing water","WHISKY CREEK",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000295",42.061,2/22/2012 12:00:00 AM,46.26991336,-118.1080188,"Discrete monitoring point","Unknown","Computer map - GIS-based","",9,"N",38,"E",7,"SW","NE","",,"","","","","","","","","","WHM_WAM0",,42648611
"WAM06600-002793","LOST SPRINGS CREEK","Stream/River","Channeled, flowing water","LOST SPRINGS CREEK",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000560",17.482,2/22/2012 12:00:00 AM,46.36253847,-118.1520469,"Discrete monitoring point","Unknown","Computer map - GIS-based","",10,"N",37,"E",11,"NW","SE","",,"","","","","","","","","","WHM_WAM0",,42003908
"WAM06600-006889","LOST SPRINGS CREEK TRIBUTARY","Stream/River","Channeled, flowing water","LOST SPRINGS CREEK TRIBUTARY",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000559",22.814,2/22/2012 12:00:00 AM,46.36488246,-118.1478168,"Discrete monitoring point","Unknown","Computer map - GIS-based","",10,"N",37,"E",11,"NW","NE","",,"","","","","","","","","","WHM_WAM0",,87260195
"WAM06600-010137","WAM06600-010137","STREAM/RIVER","Channeled, flowing water","TOUCHET RIVER",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.31829,-117.98318,"Stream segment, can include riparian zone","+/- 100 ft (30 m)","Computer map - GIS-based","",10,"N",39,"E",30,"NW","SE","",,"","","","","","","","","","WHM_WAM0",6/6/2016 9:55:53 AM,100043790
"WAM06600-010377","PAYNE HOLLOW CREEK","Stream/River","Channeled, flowing water","PAYNE HOLLOW CREEK NEAR HARTING GRADE",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000887",9.93,2/22/2012 12:00:00 AM,46.26248545,-117.9811483,"Discrete monitoring point","Unknown","Computer map - GIS-based","",9,"N",39,"E",18,"NW","NE","",,"","","","","","","","","","WHM_WAM0",,19642840
"WAM06600-011161","PATIT CREEK WEST TRIBUTARY","Stream/River","Channeled, flowing water","PATIT CREEK WEST TRIBUTARY",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000808",27.806,2/22/2012 12:00:00 AM,46.29948039,-117.7130348,"Discrete monitoring point","Unknown","Computer map - GIS-based","",10,"N",41,"E",32,"SW","NW","",,"","","","","","","","","","WHM_WAM0",,60942740
"WAM06600-015081","JOHNSON HOLLOW CREEK","Stream/River","Channeled, flowing water","JOHNSON HOLLOW CREEK",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000654",83.852,2/22/2012 12:00:00 AM,46.34533076,-117.9783191,"Discrete monitoring point","Unknown","Computer map - GIS-based","",10,"N",39,"E",18,"SE","NW","",,"","","","","","","","","","WHM_WAM0",,82282548
"WAM06600-016601","PATIT CREEK NORTH TRIBUTARY","Stream/River","Channeled, flowing water","PATIT CREEK NORTH TRIBUTARY",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000659",10.432,2/22/2012 12:00:00 AM,46.33780144,-117.7275642,"Discrete monitoring point","Unknown","Computer map - GIS-based","",10,"N",41,"E",19,"NE","NW","",,"","","","","","","","","","WHM_WAM0",,33578040
"WAM06600-020009","PAYNE HOLLOW CREEK","Stream/River","Channeled, flowing water","PAYNE HOLLOW CREEK ALONG JASPER MT. RD.",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000887",73.152,2/22/2012 12:00:00 AM,46.23823723,-117.9580886,"Discrete monitoring point","Unknown","Computer map - GIS-based","",9,"N",39,"E",20,"SE","SW","",,"","","","","","","","","","WHM_WAM0",,94096939
"WAM06600-068809","COUGAR CANYON TRIBUTARY","Stream/River","Channeled, flowing water","COUGAR CANYON TRIBUTARY",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102007522",82.491,2/22/2012 12:00:00 AM,46.31856119,-117.8228722,"Discrete monitoring point","Unknown","Computer map - GIS-based","",10,"N",40,"E",28,"NW","SW","",,"","","","","","","","","","WHM_WAM0",,18078185
"WW06TCHT01","NORTH FORK TOUCHET RIVER @ S TOUCHET RD","Stream/River","Channeled, flowing water","North Fork Touchet River @ South Touchet Road",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000323",18.92771,3/6/2014 2:42:32 PM,46.2975000000008,-117.952900000002,"Discrete monitoring point","+/- 20 ft (6 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",32,"SE","SE","",,"","","","","","","","","","DGRA0001, JROS0025",,67490988
